permission,protection_level
android.permission.MANAGE_DEVICE_POLICY_BUGREPORT,internal
android.permission.MANAGE_DEVICE_POLICY_CALLS,internal
android.permission.MANAGE_DEVICE_POLICY_CAMERA,internal
android.permission.MANAGE_DEVICE_POLICY_CAMERA_TOGGLE,internal
android.permission.MANAGE_DEVICE_POLICY_CERTIFICATES,internal
android.permission.MANAGE_DEVICE_POLICY_COMMON_CRITERIA_MODE,internal
android.permission.MANAGE_DEVICE_POLICY_CONTENT_PROTECTION,internal
android.permission.MANAGE_DEVICE_POLICY_DEBUGGING_FEATURES,internal
android.permission.MANAGE_DEVICE_POLICY_DEFAULT_SMS,internal
android.permission.MANAGE_DEVICE_POLICY_DEVICE_IDENTIFIERS,internal
android.permission.MANAGE_DEVICE_POLICY_DISPLAY,internal
android.permission.MANAGE_DEVICE_POLICY_FACTORY_RESET,internal
android.permission.MANAGE_DEVICE_POLICY_FUN,internal
android.permission.MANAGE_DEVICE_POLICY_INPUT_METHODS,internal
android.permission.MANAGE_DEVICE_POLICY_INSTALL_UNKNOWN_SOURCES,internal
android.permission.MANAGE_DEVICE_POLICY_KEEP_UNINSTALLED_PACKAGES,internal
android.permission.MANAGE_DEVICE_POLICY_KEYGUARD,internal
android.permission.MANAGE_DEVICE_POLICY_LOCALE,internal
android.permission.MANAGE_DEVICE_POLICY_LOCATION,internal
android.permission.MANAGE_DEVICE_POLICY_LOCK,internal
android.permission.MANAGE_DEVICE_POLICY_LOCK_CREDENTIALS,internal
android.permission.MANAGE_DEVICE_POLICY_LOCK_TASK,internal
android.permission.MANAGE_DEVICE_POLICY_MANAGED_SUBSCRIPTIONS,internal
android.permission.MANAGE_DEVICE_POLICY_METERED_DATA,internal
android.permission.MANAGE_DEVICE_POLICY_MICROPHONE,internal
android.permission.MANAGE_DEVICE_POLICY_MICROPHONE_TOGGLE,internal
android.permission.MANAGE_DEVICE_POLICY_MOBILE_NETWORK,internal
android.permission.MANAGE_DEVICE_POLICY_MODIFY_USERS,internal
android.permission.MANAGE_DEVICE_POLICY_MTE,internal
android.permission.MANAGE_DEVICE_POLICY_NEARBY_COMMUNICATION,internal
android.permission.MANAGE_DEVICE_POLICY_NETWORK_LOGGING,internal
android.permission.MANAGE_DEVICE_POLICY_ORGANIZATION_IDENTITY,internal
android.permission.MANAGE_DEVICE_POLICY_OVERRIDE_APN,internal
android.permission.MANAGE_DEVICE_POLICY_PACKAGE_STATE,internal
android.permission.MANAGE_DEVICE_POLICY_PHYSICAL_MEDIA,internal
android.permission.MANAGE_DEVICE_POLICY_PRINTING,internal
android.permission.MANAGE_DEVICE_POLICY_PRIVATE_DNS,internal
android.permission.MANAGE_DEVICE_POLICY_PROFILES,internal
android.permission.MANAGE_DEVICE_POLICY_PROFILE_INTERACTION,internal
android.permission.MANAGE_DEVICE_POLICY_PROXY,internal
android.permission.MANAGE_DEVICE_POLICY_QUERY_SYSTEM_UPDATES,internal
android.permission.MANAGE_DEVICE_POLICY_RESET_PASSWORD,internal
android.permission.MANAGE_DEVICE_POLICY_RESTRICT_PRIVATE_DNS,internal
android.permission.MANAGE_DEVICE_POLICY_RUNTIME_PERMISSIONS,internal
android.permission.MANAGE_DEVICE_POLICY_RUN_IN_BACKGROUND,internal
android.permission.MANAGE_DEVICE_POLICY_SAFE_BOOT,internal
android.permission.MANAGE_DEVICE_POLICY_SCREEN_CAPTURE,internal
android.permission.MANAGE_DEVICE_POLICY_SCREEN_CONTENT,internal
android.permission.MANAGE_DEVICE_POLICY_SECURITY_LOGGING,internal
android.permission.MANAGE_DEVICE_POLICY_SETTINGS,internal
android.permission.MANAGE_DEVICE_POLICY_SMS,internal
android.permission.MANAGE_DEVICE_POLICY_STATUS_BAR,internal
